Código;Categoria 1;Categoria 2
E300781301;79;
E301003300;79;
E301003400;79;
E301021401;79;
E301021501;79;
E301021901;79;
E301319300;79;
E301319400;79;
E301319500;79;
ETE/PLX;31;
ETE/REC;30;31
ETS/150/1/SE/TR;30;31
ETS/300/1/SE/TR;30;31
ETSE/150/1/SA/TR;30;31
ETSE/150/1/SE/TR;30;31
ETSE/350/1/SE/TR;30;31
ETSE/70/1/SE/TR;30;31
EYC/120/1/E/SE;30;
EYO/120/1/E/SE;30;
G100-120;319;
G100-240;319;
G100-360;319;
G100-60;319;
H.LED.G53;81;
L1000;318;
L100-1;27;
L100-2;27;
L100-3;27;
L100-4;27;
L100-6;27;
L2000-B-BC;318;
L2000-B-C;318;
L2000-N-BC;318;
L2000-N-C;318;
L400;318;
L400-1;318;
L400-2;318;
L400-3;318;
LE100;26;119
LE110BC;26;119
LE111BC;26;119
LE115BN;26;119
LE200;26;119
LE300;26;119
LM100;40;
LM101;42;
LM102;42;
LM103;42;
LM104;42;
LM105;41;
LM106;41;
LM107;41;
LM200;40;
LN001-AM;76;
LN001-BL;76;
LN001-LI;76;
LN001-N;76;
LN001-RO;76;
LN001-SA;76;
LN-1101;41;
LN-1102;41;
LN-1103;41;
LN-1104;41;
LN1201;41;
LN-1202;41;
LN1288-B-BC;27;36
LN1288-B-BN;27;36
LN1288-KB;27;36
LN1288-KN;27;36
LN1288-N-BC;27;36
LN1288-N-BN;27;36
LN1289-B-BF;27;34
LN1289-B-BN;27;34
LN1289-N-BF;27;34
LN1289-N-BN;27;34
LN1501-B;26;119
LN1501-P;26;119
LN1502-B;26;119
LN1502-P;26;119
LN1503-B;26;119
LN1503-P;26;119
LN1504-B;26;119
LN1504-P;26;119
LN1505-B;26;119
LN1505-P;26;119
LN1506-B;26;119
LN1506-P;26;119
LN1508-C-BC;26;119
LN1508-NS-BC;26;119
LN1509-B;26;119
LN1509-N;26;119
LN1520-C-BC;26;119
LN1520-NS-BC;26;119
LN1530-B-BC;26;119
LN1530-NS-BC;26;119
LN1601-G;41;
LN1601-GSP;41;
LN1604;41;
LN1605;41;
LN1606;41;
LN1607;41;
LN1608;41;
LN1609;41;
LN1610;41;
LN1611;41;
LN-3001-2;41;
LN-3002-2;41;
LN-3003-2;41;
LN4001-AM;41;
LN4001-B;41;
LN4001-G;41;
LN4002-AM;41;
LN4002-B;41;
LN4002-G;41;
LN4003-AM;26;119
LN4003-B;26;119
LN4003-G;26;119
LN4004-AM;42;
LN4004-B;42;
LN4004-G;42;
LN4005-AM;40;
LN4005-B;40;
LN4005-G;40;
LN4006;42;
LN4007;42;
LN6011-B;41;
LN6011-N;41;
LN6011-RO;41;
LN6012-B;41;
LN6012-N;41;
LN6012-RO;41;
LN6013-B;41;
LN6013-G;41;
LN6013-N;41;
LN6013-P;41;
LN8500-B-120BN;41;36
LN8500-N-120BN;41;36
LO001;43;36
LS1001-AM;41;90
LS1001-B;41;90
LS1001-N;41;90
LS1001-RO;41;90
LV001-BL;76;
LV001-BL-10;76;
LV001-CU;76;
LV001-CU-10;76;
LV001-DO-10;76;
LV001-GR;76;
LV001-MO;76;
LV001-MO-10;76;
LV001-N;76;
LV001-N-10;76;
LV001-RO;76;
LV001-RO-10;76;
LV1002-BR;90;
LV101-RR;90;
LV102-BR;90;
LV103-CR;90;
LV103-GLDR;90;
LV104-BR;90;
LV105-GLDR;90;
LV106-BR;90;
LV106-GLDR;90;
LV107-GLDR;90;
LV120-AM;90;
LV120-AZ;90;
LV120-B;90;
LV120-M;90;
LV120-N;90;
LV120-RO;90;
LV121-AM;90;
LV121-AZ;90;
LV121-B;90;
LV121-M;90;
LV121-N;90;
LV121-RO;90;
LV122-AM;90;
LV122-B;90;
LV122-M;90;
LV122-N;90;
LV122-RO;90;
LV150-N;90;
LV201;41;
LV221;119;
LV222;119;
LV223;119;
LV224;119;
LV225;26;119
LV226;41;
LV227;41;
LV228;41;
LV228-E40;41;
LV229;41;
LV230;41;
LV231;41;
LV232;41;
LV233;41;
LV234;40;
LV235;41;
LV236;41;
LV237;41;
LV238;42;
LV239-BR;40;
LV239-CR;40;
LV240-BR-120CM;40;
LV240-BR-48CM;42;
LV240-CR-120CM;40;
LV240-CR-42CM;42;
LV241-2;41;
LV242;41;
LV243;41;
LV244;41;
LV248;41;
LV249;41;
LV250;42;
LV251;41;
LV260;41;
LV261;41;
LV262;40;
LV263;42;
LV264;41;
LV265;119;
LV266;25;
LV267;41;
LV268;40;
LV269;42;
LV270;25;
LV271;119;
LV272;42;
LV273;42;
LV300;41;
LV301;41;
LV303;41;
LV305;41;
LV404;42;
LV405;119;
LV406;42;
LV407;42;
LV408;41;
LV409;41;
LV410;40;
LV411;40;
LV412;41;
LV413;40;
LV414;40;
LVF101;47;
LVF102;47;
LVF103;47;
LVF214;47;
LVF215;47;
LVF216;47;
LVF217;47;
LX001;79;
LX002;79;
LX004;79;
LX005;79;
LX010;79;
M22.000.000.AXE27;26;45
mu1001;49;
mu2001;49;
mu2002;49;
mu2003;49;
mu2004;49;
mu2005;49;
mu2006;49;
mu2007;49;
mu2008;49;
N100-G125;51;
N600-G125;51;
O100-G125-D;51;
O100-ST64-D;51;
O1350;51;
O1360BC-C;51;
O1360BC-M;51;
O500BC;52;
O500BN;52;
O510BC;52;
O510BN;52;
PM22;31;
PM23;31;
PM24;31;
PM25;31;
PM26;31;
PM27;31;
PM28;31;
S1100;71;
S1120;71;
S1140;71;
S1160;71;
S1180;71;
S1200;71;
S2000;71;
S8100-C;71;
S8100-M;71;
SL08;43;120
SL09;43;120
SL10;43;120
SL11;43;120
SLB08;120;
SLB09;120;
SLB10;46;
SLX001;79;
SLX002;79;
UM/15/CD/B1;30;
V100-2-G125;51;
V100-A160;89;
V100-A60-D;51;
V100-BOT;51;
V100-C35;50;
V100-G260;89;
V100-ST30;51;
V100-ST64;51;
V200-G125;51;
V300-G130;51;
V400-ST64;51;
V500-G125;51;
V501;51;
V502;51;
V600-A60;51;
V600-ST64;51;
X0001;79;
X0002-AZ;32;
X0002-BC;32;
X0002-BF;32;
X0002-RGB;32;
X0006;79;
X0010;79;32
X0011;79;32
X0012;79;32
X1000;79;
